;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/14/2025 10:51:12 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x2DE8      	GOTO       1512
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x1683      	BSF        STATUS, 5
0x0008	0x00C7      	MOVWF      ___saveSTATUS
0x0009	0x080A      	MOVF       PCLATH, 0
0x000A	0x00C6      	MOVWF      ___savePCLATH
0x000B	0x018A      	CLRF       PCLATH
0x000C	0x0870      	MOVF       R0, 0
0x000D	0x1283      	BCF        STATUS, 5
0x000E	0x00A6      	MOVWF      38
0x000F	0x0871      	MOVF       R1, 0
0x0010	0x00A5      	MOVWF      37
0x0011	0x0872      	MOVF       R2, 0
0x0012	0x00A4      	MOVWF      36
0x0013	0x0873      	MOVF       R3, 0
0x0014	0x00A3      	MOVWF      35
0x0015	0x0874      	MOVF       R4, 0
0x0016	0x00A2      	MOVWF      34
0x0017	0x0875      	MOVF       R5, 0
0x0018	0x00A1      	MOVWF      33
;MyProject.c,271 :: 		void interrupt(void) {
;MyProject.c,272 :: 		if (IS_BIT1_HIGH(INTCON))
0x0019	0x1C8B      	BTFSS      INTCON, 1
0x001A	0x2827      	GOTO       L_interrupt22
;MyProject.c,274 :: 		FollowingMode = (FollowingMode == 1) ? 0 : 1;
0x001B	0x0827      	MOVF       _FollowingMode, 0
0x001C	0x3A01      	XORLW      1
0x001D	0x1D03      	BTFSS      STATUS, 2
0x001E	0x2821      	GOTO       L_interrupt23
0x001F	0x01F5      	CLRF       R5
0x0020	0x2823      	GOTO       L_interrupt24
L_interrupt23:
0x0021	0x3001      	MOVLW      1
0x0022	0x00F5      	MOVWF      R5
L_interrupt24:
0x0023	0x0875      	MOVF       R5, 0
0x0024	0x00A7      	MOVWF      _FollowingMode
;MyProject.c,275 :: 		SET_BIT1_LOW(INTCON);
0x0025	0x108B      	BCF        INTCON, 1
;MyProject.c,276 :: 		}
0x0026	0x2865      	GOTO       L_interrupt25
L_interrupt22:
;MyProject.c,277 :: 		else if (IS_BIT2_HIGH(INTCON))
0x0027	0x1D0B      	BTFSS      INTCON, 2
0x0028	0x282F      	GOTO       L_interrupt26
;MyProject.c,279 :: 		TMR0 = 0;
0x0029	0x0181      	CLRF       TMR0
;MyProject.c,280 :: 		oftmr0++;
0x002A	0x0ABF      	INCF       _oftmr0, 1
0x002B	0x1903      	BTFSC      STATUS, 2
0x002C	0x0AC0      	INCF       _oftmr0+1, 1
;MyProject.c,281 :: 		SET_BIT2_LOW(INTCON);
0x002D	0x110B      	BCF        INTCON, 2
;MyProject.c,282 :: 		}
0x002E	0x2865      	GOTO       L_interrupt27
L_interrupt26:
;MyProject.c,283 :: 		else if (IS_BIT0_HIGH(PIR2)) {                                           // CCP1 interrupt
0x002F	0x1C0D      	BTFSS      PIR2, 0
0x0030	0x285F      	GOTO       L_interrupt28
;MyProject.c,284 :: 		if (HL) {                                // high
0x0031	0x1683      	BSF        STATUS, 5
0x0032	0x083F      	MOVF       _HL, 0
0x0033	0x1903      	BTFSC      STATUS, 2
0x0034	0x2845      	GOTO       L_interrupt29
;MyProject.c,285 :: 		CCPR2H = angle >> 8;
